"","Station","Species","DateTimeOriginal","Date","Time","delta.time.secs","delta.time.mins","delta.time.hours","delta.time.days","Directory","FileName","metadata_Individuos","metadata_Especies","n_images","HierarchicalSubject"
"34","CAM_3","Cuniculus paca",2019-09-26 20:05:43,2019-09-26,"20:05:43",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_3/Cuniculus_paca","I_00010a.JPG","1 ind","Cuniculus paca",1,"Individuos|1 ind, Especies|Cuniculus paca"
"35","CAM_3","Dasypus novemcinctus",2019-09-16 01:38:16,2019-09-16,"01:38:16",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_3/Dasypus_novemcinctus","I_00004a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
"36","CAM_3","Dasypus novemcinctus",2019-09-19 03:22:51,2019-09-19,"03:22:51",265475,4424.6,73.7,3.1,"UMA_OCOTONES_CHIS/CAM_3/Dasypus_novemcinctus","I_00005a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
"37","CAM_3","Dasypus novemcinctus",2019-09-22 04:20:58,2019-09-22,"04:20:58",262687,4378.1,73,3,"UMA_OCOTONES_CHIS/CAM_3/Dasypus_novemcinctus","I_00007a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
"38","CAM_3","Dasypus novemcinctus",2019-09-22 21:32:38,2019-09-22,"21:32:38",61900,1031.7,17.2,0.7,"UMA_OCOTONES_CHIS/CAM_3/Dasypus_novemcinctus","I_00008a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
"39","CAM_3","Dasypus novemcinctus",2019-09-25 05:59:35,2019-09-25,"05:59:35",203217,3386.9,56.4,2.4,"UMA_OCOTONES_CHIS/CAM_3/Dasypus_novemcinctus","I_00009a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
"40","CAM_3","Dasypus novemcinctus",2019-10-01 04:08:19,2019-10-01,"04:08:19",511724,8528.7,142.1,5.9,"UMA_OCOTONES_CHIS/CAM_3/Dasypus_novemcinctus","I_00013a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
"41","CAM_3","Dasypus novemcinctus",2019-10-06 05:31:12,2019-10-06,"05:31:12",436973,7282.9,121.4,5.1,"UMA_OCOTONES_CHIS/CAM_3/Dasypus_novemcinctus","I_00015a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
"42","CAM_3","Dasypus novemcinctus",2019-10-06 06:40:30,2019-10-06,"06:40:30",4158,69.3,1.2,0,"UMA_OCOTONES_CHIS/CAM_3/Dasypus_novemcinctus","I_00016a.JPG","1 ind","Dasypus novemcinctus",1,"Especies|Dasypus novemcinctus, Individuos|1 ind"
"43","CAM_3","Dicotyles crassus",2019-09-28 17:18:56,2019-09-28,"17:18:56",0,0,0,0,"UMA_OCOTONES_CHIS/CAM_3/Dicotyles_crassus","I_00012a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
"44","CAM_3","Dicotyles crassus",2019-10-10 14:43:37,2019-10-10,"14:43:37",1027481,17124.7,285.4,11.9,"UMA_OCOTONES_CHIS/CAM_3/Dicotyles_crassus","I_00021a.JPG","1 ind","Dicotyles crassus",1,"Especies|Dicotyles crassus, Individuos|1 ind"
